actor,year,doc_index,total_risk_mentions,risk_naturhot,risk_biologiska_hot,risk_olyckor,risk_antagonistiska_hot,risk_cyber_hot,risk_sociala_risker,risk_teknisk_infrastruktur,risk_brand,risk_miljö_klimat,risk_ekonomi,sannolikhet_total,sannolikhet_very_low,sannolikhet_low,sannolikhet_medium,sannolikhet_high,sannolikhet_very_high,sannolikhet_change,sannolikhet_uncertainty,sannolikhet_acceptability,sannolikhet_UNKNOWN,konsekvens_total,konsekvens_very_low,konsekvens_low,konsekvens_medium,konsekvens_high,konsekvens_very_high,konsekvens_change,konsekvens_uncertainty,konsekvens_acceptability,konsekvens_UNKNOWN,risk_total,risk_very_low,risk_low,risk_medium,risk_high,risk_very_high,risk_change,risk_uncertainty,risk_acceptability,risk_UNKNOWN
kommun,2019,407,89,30,12,3,3,0,1,29,6,5,0,18,1,4,2,2,1,0,0,0,8,25,0,2,1,7,3,0,0,0,12,38,0,0,0,1,0,6,0,0,31
kommun,2015,408,21,5,3,0,0,0,0,13,0,0,0,10,2,1,3,0,1,2,0,0,1,14,0,0,1,2,1,0,0,0,10,20,0,0,0,1,1,0,0,0,18
kommun,2023,409,261,124,59,0,31,1,5,9,29,2,1,44,2,8,1,8,0,1,1,0,23,38,0,0,1,1,0,1,0,0,35,99,0,11,0,12,0,2,2,0,72
kommun,2019,410,106,36,5,10,16,0,11,12,14,2,0,1,0,1,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,4,48,0,0,1,5,2,0,1,0,39
kommun,2023,411,394,109,86,36,37,18,12,50,35,11,0,42,2,4,7,5,2,1,0,0,21,32,1,0,0,4,13,0,0,0,14,51,0,0,0,5,0,14,0,1,31
kommun,2019,412,36,12,0,4,7,1,1,9,2,0,0,7,0,0,0,0,0,0,0,0,7,7,0,0,0,2,0,0,0,0,5,4,0,0,0,0,0,1,0,0,3
kommun,2016,413,61,5,7,0,6,0,13,28,1,1,0,10,1,1,5,2,0,0,0,0,1,17,1,3,0,7,2,0,0,0,4,38,0,2,4,7,1,0,2,0,22
kommun,2015,414,9,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,17
kommun,2015,415,459,170,43,62,62,2,22,43,49,5,1,13,1,3,2,0,2,0,1,0,4,49,0,1,0,27,0,1,2,0,18,93,1,1,3,4,0,14,13,0,57
kommun,2023,416,56,11,9,3,16,1,2,7,7,0,0,22,2,2,6,2,4,0,0,0,6,18,1,0,0,8,0,0,0,0,9,16,1,0,0,0,1,2,0,0,12
kommun,2019,417,332,137,44,42,39,1,15,27,23,4,0,17,0,2,4,3,3,1,0,0,4,52,0,1,3,22,5,0,0,0,21,76,0,1,1,8,0,10,3,0,53
kommun,2015,418,37,8,7,14,0,0,1,6,1,0,0,13,0,2,0,1,2,0,2,0,6,10,1,0,0,0,0,0,2,0,7,11,0,0,0,2,0,0,0,0,9
kommun,2023,419,388,107,45,23,91,1,13,26,58,20,4,28,2,3,0,7,4,0,1,0,11,34,0,0,0,8,2,2,3,0,19,75,0,0,0,10,0,23,2,0,40
kommun,2019,420,61,32,8,6,4,0,3,4,2,2,0,1,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,1,0,0,1,27,0,0,0,1,0,7,0,0,19
kommun,2023,421,184,65,25,15,17,0,5,25,25,7,0,8,1,0,1,1,1,0,2,0,2,20,0,0,0,15,1,0,1,0,3,27,0,0,0,4,0,6,0,0,17
kommun,2023,422,94,32,14,13,9,0,3,4,19,0,0,18,1,3,0,1,0,0,4,0,9,25,0,0,1,11,0,1,1,0,11,36,0,2,0,1,0,2,1,0,30
kommun,2019,423,127,30,10,20,15,1,1,23,26,1,0,4,0,1,0,0,0,0,0,0,3,13,0,1,0,6,1,0,0,0,5,34,0,1,0,3,0,1,1,0,28
kommun,2023,424,67,14,7,4,13,1,3,21,3,1,0,6,0,0,1,0,1,0,0,0,4,27,2,1,3,8,2,1,0,0,10,30,2,1,2,1,2,2,0,0,20
kommun,2019,425,11,0,6,0,0,0,3,2,0,0,0,8,1,0,0,0,0,0,0,0,7,13,1,1,0,2,2,0,0,0,7,9,0,0,0,0,0,0,0,0,9
kommun,2019,426,80,35,9,0,6,1,0,22,1,6,0,1,0,0,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,1,8,14,0,0,0,0,0,3,1,0,10
kommun,2019,427,6,1,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,11
kommun,2019,428,23,10,3,0,2,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,1,7,10,0,0,0,0,0,0,0,0,10
kommun,2023,429,84,33,18,6,4,3,2,10,5,3,0,2,0,0,0,0,0,1,0,0,1,8,0,1,0,4,0,0,0,0,3,31,0,3,0,0,0,5,1,0,22
kommun,2023,430,12,4,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,2
kommun,2015,431,8,0,0,0,1,0,0,2,0,4,1,3,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,2,0,6
kommun,2023,432,360,90,52,31,64,10,24,52,27,10,0,21,3,4,3,1,0,1,2,0,7,49,0,1,1,24,1,2,3,0,17,75,1,0,2,7,1,9,4,0,51
kommun,2023,433,449,189,65,10,55,3,14,66,42,5,0,31,1,5,1,5,0,3,0,0,16,67,0,1,2,31,4,2,2,0,25,56,0,3,0,5,0,12,0,0,36
kommun,2024,434,157,34,29,8,18,3,0,47,15,3,0,41,3,0,2,3,3,2,1,0,27,45,1,0,0,14,1,2,0,0,27,52,1,0,1,1,2,3,1,0,43
kommun,2023,435,194,66,44,17,11,1,11,21,13,10,0,51,12,4,13,3,0,2,2,0,15,66,3,8,1,31,5,0,1,0,17,35,0,0,0,3,1,7,1,0,23
kommun,2023,436,208,63,34,20,13,7,2,28,28,13,0,9,0,3,0,1,0,2,0,0,3,15,0,0,0,7,0,0,0,0,8,66,0,0,0,6,0,9,2,0,49
kommun,2023,437,29,2,8,1,6,0,0,7,4,1,0,2,0,0,0,0,0,0,1,0,1,8,0,0,0,3,0,0,1,0,4,14,0,0,0,1,0,2,1,0,10
kommun,2012,438,243,30,47,17,23,3,4,45,58,16,0,15,0,2,0,1,0,0,0,0,12,28,0,0,0,8,1,1,0,0,18,51,0,2,0,5,0,3,1,0,40
kommun,2019,439,424,150,50,53,41,6,6,42,50,24,2,61,2,10,5,11,4,5,1,0,23,83,0,3,0,31,3,1,4,0,41,57,0,1,1,4,0,14,1,0,36
kommun,2019,440,103,31,7,9,11,0,4,20,16,5,0,8,0,2,0,2,1,0,0,0,3,15,0,1,2,8,1,0,0,0,3,24,0,0,0,3,0,3,0,0,18
kommun,2019,441,63,12,10,4,7,0,3,16,8,3,0,3,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,4,14,0,0,0,1,0,0,0,0,13
kommun,2023,442,53,16,14,3,4,1,2,5,5,3,0,6,2,0,1,0,0,0,0,0,3,9,1,1,0,2,2,0,1,0,2,11,0,0,0,1,0,0,0,0,10
kommun,2019,443,177,67,32,19,22,0,5,15,15,2,0,11,1,0,3,2,1,1,0,0,3,22,0,0,1,9,1,1,0,0,10,48,0,1,2,1,0,5,0,0,39
kommun,2023,444,3,0,1,1,0,1,0,0,0,0,0,5,0,0,0,1,0,1,0,0,3,5,0,0,0,0,0,1,0,0,4,7,0,0,0,0,0,0,0,0,7
kommun,2023,445,59,29,10,6,1,0,0,7,2,4,0,4,0,0,0,0,0,0,0,0,4,7,0,0,0,1,0,0,0,0,6,17,0,0,0,2,0,1,0,0,14
kommun,2023,446,249,80,49,11,34,3,0,55,14,3,0,3,0,0,0,1,0,0,1,0,1,31,0,0,0,20,0,0,1,0,10,18,0,0,0,1,0,3,0,0,14
kommun,2015,447,17,3,1,0,10,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,7,0,0,0,1,0,0,0,0,6
kommun,2019,448,92,33,14,11,9,0,3,3,19,0,0,18,1,3,0,1,0,0,4,0,9,23,0,1,0,10,0,1,0,0,11,36,0,2,0,1,0,2,1,0,30
kommun,2019,449,80,26,17,3,3,0,1,24,3,3,0,19,1,1,0,0,2,4,0,0,11,38,1,3,1,14,0,1,0,0,18,39,1,0,0,0,0,0,0,0,38
kommun,2019,450,186,31,10,19,57,0,0,21,45,3,0,25,6,4,0,3,3,1,1,0,7,28,1,0,0,11,3,5,0,0,8,40,1,1,0,13,2,6,1,0,16
kommun,2023,451,492,166,111,46,49,11,1,47,36,24,1,57,1,0,1,2,0,1,2,0,50,105,1,1,2,42,1,0,3,0,55,64,0,1,0,7,0,12,2,0,42
kommun,2023,452,24,7,4,0,0,2,1,8,0,0,2,13,0,1,1,1,0,0,0,0,10,32,0,0,0,13,0,0,1,1,17,15,0,0,1,3,2,0,0,0,9
kommun,2015,453,50,16,4,7,7,1,0,8,6,1,0,5,1,0,0,0,0,1,0,0,3,13,0,0,0,1,0,0,1,0,11,22,0,0,0,1,0,1,0,0,20
kommun,2015,454,20,5,2,4,2,0,1,4,1,1,0,6,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
kommun,2023,455,11,1,5,1,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,7,0,0,0,2,0,0,0,0,5,18,0,0,0,1,0,1,1,0,15
kommun,2019,456,85,19,10,5,10,2,2,20,12,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,2,1,0,0,5,14,0,0,0,1,0,1,0,0,12
kommun,2023,457,841,357,120,21,84,22,6,126,75,30,0,15,0,2,1,3,0,3,1,0,5,153,0,3,2,38,3,5,6,0,96,169,1,4,1,9,1,43,2,0,108
kommun,2019,458,29,2,9,1,8,0,0,4,4,1,0,1,0,0,0,0,0,0,1,0,0,8,0,0,0,3,0,0,1,0,4,25,0,0,0,2,0,3,1,0,19
kommun,2023,459,105,32,9,6,18,1,4,23,5,7,0,3,0,0,0,0,0,0,0,0,3,7,0,0,0,1,0,2,1,0,3,23,0,0,0,1,0,3,1,0,18
kommun,2015,460,106,39,20,2,5,0,2,19,16,3,0,19,1,0,0,4,1,0,1,0,12,21,0,0,0,12,1,0,0,0,8,43,0,1,0,2,0,4,1,0,35
kommun,2023,461,260,104,25,9,38,7,6,29,27,15,0,7,0,1,0,1,0,1,1,0,3,34,0,1,0,16,2,1,0,0,14,46,0,1,0,2,0,9,0,1,33
kommun,2019,462,333,137,36,27,38,3,13,49,25,5,0,25,1,3,3,2,1,4,0,0,11,37,0,0,0,12,3,1,1,0,20,76,0,2,2,5,0,8,4,1,54
kommun,2015,463,19,3,2,1,5,0,0,6,1,1,0,4,0,1,0,0,0,0,0,0,3,24,0,0,1,1,0,0,0,0,22,9,0,0,0,0,0,0,0,0,9
kommun,2019,464,450,119,75,42,35,3,29,108,33,6,0,14,0,0,1,1,0,5,1,0,6,62,0,1,21,18,1,0,3,0,18,90,0,0,0,7,0,4,2,0,77
kommun,2019,465,717,245,81,24,114,17,41,99,59,37,0,14,1,2,0,3,0,0,0,1,7,138,1,5,0,35,4,4,1,3,85,221,2,4,3,18,1,29,4,0,160
kommun,2019,466,673,240,80,19,114,13,40,96,45,26,0,13,1,2,0,2,0,0,0,1,7,136,1,5,0,33,4,2,1,3,87,195,1,4,3,18,1,29,3,0,136
kommun,2023,467,36,15,7,0,7,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,7,12,0,0,0,0,0,0,0,0,12
kommun,2023,468,534,233,76,40,35,17,4,77,43,6,3,53,3,5,2,9,5,4,3,0,22,50,2,2,4,25,2,1,1,0,13,101,2,4,12,9,5,12,3,0,54
kommun,2019,469,144,29,25,20,7,0,3,31,24,5,0,66,24,0,1,1,19,3,0,0,18,36,1,0,0,21,7,0,0,0,7,31,0,0,0,2,0,4,1,0,24
kommun,2015,470,200,44,45,9,36,1,0,28,20,17,0,27,2,0,6,3,0,0,0,0,16,35,0,0,0,9,0,1,0,0,25,104,0,0,0,4,1,1,4,1,93
kommun,2019,471,97,34,26,7,4,3,2,11,7,3,0,3,0,0,0,0,0,1,0,0,2,9,0,1,0,3,0,0,0,0,5,31,0,3,0,0,0,6,2,0,20
kommun,2023,472,250,68,51,11,35,4,0,63,13,5,0,3,0,0,0,1,0,0,1,0,1,31,0,0,0,20,0,0,1,0,10,20,0,1,0,1,0,4,1,0,13
kommun,2019,473,98,39,13,2,13,1,5,11,12,2,0,13,1,1,0,1,0,2,0,0,8,56,0,1,0,10,3,0,0,0,42,31,1,0,0,3,0,0,0,0,27
kommun,2015,474,345,75,83,26,41,14,16,33,39,16,2,59,0,2,1,11,3,2,3,0,37,57,0,1,2,17,3,3,3,0,28,64,0,1,1,7,0,10,0,1,44
kommun,2015,475,266,38,34,10,56,3,14,58,35,17,1,6,0,0,0,0,0,0,0,0,6,36,0,0,0,18,0,1,0,1,16,68,1,1,0,9,0,2,3,0,52
kommun,2019,476,46,22,2,0,2,1,1,8,9,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,11,0,0,0,1,0,0,0,0,10
kommun,2023,477,423,160,36,22,114,2,4,40,32,13,0,10,0,2,1,0,0,2,0,0,5,58,0,1,2,30,4,0,0,0,21,133,1,1,2,9,0,18,3,0,99
kommun,2012,478,64,13,6,19,0,0,0,10,1,15,0,30,2,0,2,0,2,1,0,0,23,30,1,0,1,0,0,0,0,0,28,33,1,1,0,0,0,1,0,0,30
kommun,2013,479,68,14,6,21,0,0,0,11,1,15,0,28,1,0,2,0,1,1,0,0,23,30,1,0,1,0,0,0,0,0,28,31,0,0,0,0,0,1,0,0,30
kommun,2023,480,38,18,4,0,2,1,0,9,3,1,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,21,0,0,0,2,1,2,0,0,16
kommun,2011,481,64,13,6,19,0,0,0,10,1,15,0,30,2,0,2,0,2,1,0,0,23,30,1,0,1,0,0,0,0,0,28,33,1,1,0,0,0,1,0,0,30
kommun,2010,482,75,16,7,22,0,0,0,13,2,15,0,32,2,0,2,1,2,1,0,0,24,31,1,0,1,0,0,0,0,0,29,30,1,0,1,0,0,1,0,0,27
kommun,2023,483,25,13,4,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,5,25,0,0,0,1,1,5,2,0,16
kommun,2015,484,123,18,8,9,29,4,0,29,23,3,0,3,0,0,0,1,0,0,0,0,2,24,0,0,0,13,1,0,0,0,10,25,0,0,0,2,0,2,0,0,21
kommun,2020,485,40,21,5,2,0,0,1,3,5,2,1,1,0,0,0,1,0,0,0,0,0,12,0,0,1,3,0,0,0,0,8,29,0,0,1,1,0,3,0,0,24
kommun,2009,486,24,9,1,4,0,0,0,10,0,0,0,8,2,0,0,0,2,0,0,0,4,11,1,0,0,0,0,0,0,0,10,21,0,1,0,1,1,0,0,0,18
kommun,2019,487,184,63,21,23,10,5,4,42,9,4,3,44,2,2,2,3,3,0,2,0,30,13,1,0,1,5,1,1,0,0,4,52,1,3,5,9,3,3,1,0,27
länsstyrelse,2022,488,34,7,18,0,5,0,0,1,1,2,0,4,0,0,0,0,0,0,1,0,3,22,0,0,0,5,1,2,0,0,14,38,0,0,0,1,0,1,0,0,36
länsstyrelse,2015,489,328,138,54,53,15,2,7,28,13,17,1,15,1,1,0,2,0,0,1,0,10,37,2,0,0,10,1,1,0,0,23,79,0,1,2,13,0,6,4,0,53
länsstyrelse,2011,490,105,21,37,5,5,3,0,19,4,11,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,86,0,0,0,3,0,3,1,0,79
länsstyrelse,2018,491,145,23,27,13,30,4,7,23,9,9,0,1,0,0,0,0,0,1,0,0,0,24,0,0,1,17,0,0,0,0,6,111,0,0,1,3,0,3,1,0,103
länsstyrelse,2016,492,324,137,55,51,14,2,7,27,13,17,1,14,1,1,0,2,0,0,1,0,9,36,2,0,0,12,1,1,0,0,20,79,0,1,2,11,0,6,4,0,55
länsstyrelse,2016,493,82,22,25,7,8,6,1,7,1,5,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,6,2,0,0,0,1,16,0,0,0,3,0,4,0,0,9
länsstyrelse,2024,494,65,27,5,9,5,0,0,8,10,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,0,2,29,1,0,0,0,0,2,2,0,24
länsstyrelse,2015,495,184,47,17,16,41,1,10,18,14,19,1,9,0,1,0,0,0,2,3,0,3,36,0,0,2,12,0,0,1,0,21,89,0,2,1,8,0,8,4,0,66
länsstyrelse,2013,496,137,24,30,15,8,2,2,22,15,19,0,6,0,0,0,1,0,1,1,0,3,22,0,0,0,8,1,0,1,0,12,129,0,0,0,7,0,2,1,0,119
länsstyrelse,2022,497,177,81,31,5,13,0,9,15,15,7,1,15,0,0,0,1,0,5,0,0,9,26,0,0,1,14,0,2,0,0,9,68,0,1,0,6,0,6,1,0,54
länsstyrelse,2011,498,206,69,21,34,16,1,9,25,25,6,0,23,1,4,1,5,8,0,1,0,3,32,0,4,0,11,3,0,0,0,14,97,0,0,0,8,0,7,0,0,82
länsstyrelse,2020,499,187,75,46,3,6,3,2,13,23,16,0,16,0,3,0,3,0,4,1,0,5,38,0,0,0,8,1,2,0,0,27,76,0,1,0,7,0,13,1,0,54
länsstyrelse,2024,500,56,5,16,0,11,0,2,4,2,15,1,4,0,0,0,0,0,0,1,0,3,18,0,0,0,0,0,1,0,0,17,59,0,0,0,3,0,3,1,0,52
länsstyrelse,2018,501,240,104,35,3,8,2,1,24,39,24,0,14,0,1,1,1,0,3,0,0,8,41,0,0,0,6,0,3,0,0,32,105,0,2,0,8,0,13,3,1,78
länsstyrelse,2008,502,132,43,43,16,2,1,0,14,4,9,0,31,2,7,5,4,0,1,1,0,11,27,0,0,0,9,1,0,0,0,17,43,0,0,1,5,0,1,1,0,35
länsstyrelse,2012,503,374,148,71,59,15,2,1,42,11,23,2,30,6,3,0,2,1,1,1,0,16,45,2,1,0,14,1,2,0,0,25,102,0,1,1,13,0,8,7,0,72
länsstyrelse,2014,504,663,237,174,55,10,6,5,92,55,29,0,70,0,1,1,10,0,15,4,0,39,133,0,1,2,33,3,9,4,0,81,145,0,0,0,14,0,21,4,0,106
länsstyrelse,2013,505,517,197,80,78,22,12,6,73,29,20,0,63,3,12,21,8,2,2,0,0,15,75,3,2,0,31,10,0,1,0,28,261,1,12,13,25,6,21,0,0,183
länsstyrelse,2007,506,276,137,37,45,7,0,0,37,10,3,0,77,2,4,4,9,4,1,0,0,53,75,2,2,0,10,8,0,0,0,53,82,1,2,4,14,1,4,0,0,56
länsstyrelse,2015,507,128,101,9,1,2,0,6,4,2,3,0,3,0,0,2,0,0,0,0,0,1,11,0,0,0,3,0,0,1,0,7,86,0,4,1,4,0,2,5,0,70
länsstyrelse,2008,508,113,18,40,4,6,0,1,19,6,19,0,15,2,3,2,0,2,2,0,0,4,34,2,1,0,7,3,0,0,0,21,30,0,1,2,3,1,1,0,0,22
länsstyrelse,2015,509,393,149,66,33,21,0,19,61,20,24,0,18,0,2,0,3,3,1,1,0,8,50,0,2,2,9,1,2,1,0,33,156,0,0,0,12,0,11,4,0,129
länsstyrelse,2014,510,378,151,66,31,18,0,16,58,21,17,0,15,0,1,1,1,1,2,2,0,7,49,0,1,3,8,1,2,1,0,33,140,0,0,2,9,0,16,2,0,111
länsstyrelse,2009,511,100,19,27,5,15,0,2,13,10,9,0,12,1,1,0,0,2,0,0,0,8,36,0,0,0,5,0,0,1,0,30,86,1,0,0,5,1,3,0,0,76
länsstyrelse,2014,512,263,119,38,25,9,3,10,18,25,16,0,12,1,0,2,0,1,0,1,0,7,37,0,2,1,11,2,0,1,0,20,91,1,0,2,6,0,3,1,0,78
länsstyrelse,2006,513,176,92,27,6,30,0,0,16,1,4,0,13,0,0,0,1,0,0,0,0,12,20,0,0,0,4,0,0,0,0,16,66,0,0,0,4,0,6,1,0,55
länsstyrelse,2012,514,522,182,74,85,28,11,17,76,28,21,0,61,1,5,21,6,2,2,0,0,24,70,1,2,0,30,8,0,0,0,29,210,1,6,15,28,3,17,0,0,140
länsstyrelse,2010,515,490,180,98,78,13,11,1,67,23,19,0,50,4,1,16,6,3,0,0,0,20,53,1,7,0,18,8,0,0,0,19,136,3,2,31,18,2,16,3,0,61
länsstyrelse,2016,516,130,96,10,3,3,0,6,6,2,4,0,3,0,0,2,0,0,0,0,0,1,10,0,0,0,3,0,0,1,0,6,85,0,4,1,4,0,2,5,0,69
länsstyrelse,2016,517,793,270,182,45,51,4,34,102,51,54,0,72,0,1,0,2,2,0,3,0,64,99,0,1,0,14,2,2,3,0,77,138,0,3,1,15,0,9,1,0,109
länsstyrelse,2020,518,294,80,55,20,42,12,13,42,19,11,0,3,0,0,0,0,0,1,1,0,1,54,0,0,2,29,0,0,0,0,23,141,0,0,0,14,1,9,1,0,116
länsstyrelse,2011,519,464,170,79,62,22,10,6,69,26,20,0,63,3,4,20,8,5,1,0,0,22,70,1,4,0,28,9,0,0,0,28,160,2,3,21,24,6,15,2,0,87
länsstyrelse,2016,520,121,24,17,16,17,1,12,14,9,10,1,2,0,0,0,0,0,1,0,0,1,16,0,0,1,10,0,0,0,0,5,139,0,0,0,6,0,2,2,0,129
länsstyrelse,2005,521,72,6,19,6,10,2,0,15,6,8,0,5,0,1,0,1,0,0,0,0,3,17,0,0,0,9,0,2,0,0,6,30,0,0,1,0,0,5,1,0,23
länsstyrelse,2020,522,479,237,84,26,36,5,1,35,37,17,1,68,2,8,4,11,11,0,0,0,32,60,0,2,1,16,3,1,2,0,35,168,0,0,0,12,0,23,4,0,129
länsstyrelse,2012,523,116,30,16,16,12,1,3,13,11,13,1,8,0,0,0,0,0,2,0,0,6,16,0,0,0,3,1,0,0,0,12,57,0,0,0,6,0,7,0,0,44
länsstyrelse,2013,524,201,67,45,18,14,1,14,14,15,13,0,10,0,0,2,0,1,1,1,0,5,35,0,0,2,10,2,0,2,0,19,79,0,0,2,4,0,8,1,0,64
länsstyrelse,2014,525,494,254,46,31,28,7,5,45,21,57,0,75,1,7,2,11,2,6,3,0,43,85,2,1,0,26,6,3,1,0,46,147,1,1,1,8,0,9,1,0,126
länsstyrelse,2012,526,113,28,15,7,6,1,1,42,3,10,0,9,1,0,0,0,2,0,0,0,6,35,0,0,3,11,1,1,0,0,19,47,0,0,1,3,2,1,2,1,37
länsstyrelse,2014,527,606,237,99,88,20,10,11,85,35,21,0,62,3,12,21,8,2,2,0,0,14,70,3,2,0,28,10,0,1,0,26,393,1,11,15,29,6,20,1,0,310
länsstyrelse,2016,528,544,187,99,71,24,18,12,73,49,11,0,67,1,12,22,12,2,4,0,1,13,80,3,2,0,32,9,0,2,0,32,343,1,11,16,34,6,16,2,2,255
länsstyrelse,2010,529,135,27,30,4,16,0,0,48,5,5,0,18,1,2,0,2,2,3,0,0,8,45,0,0,3,15,2,1,0,0,24,36,1,0,0,6,0,6,0,0,23
länsstyrelse,2009,530,179,23,94,3,26,3,1,21,0,8,0,44,6,6,1,3,3,2,0,0,23,59,0,1,1,21,4,0,0,0,32,57,0,0,0,4,0,3,1,0,49
länsstyrelse,2008,531,181,23,94,3,28,3,1,21,0,8,0,44,6,6,1,3,3,2,0,0,23,59,0,1,1,21,4,0,0,0,32,58,0,0,0,4,0,3,1,0,50
länsstyrelse,2011,532,148,36,12,5,13,2,3,52,7,18,0,13,1,1,0,1,3,2,0,0,5,45,0,0,1,10,2,1,0,0,31,42,2,1,1,3,0,5,0,0,30
länsstyrelse,2018,533,235,98,73,18,4,0,1,9,13,19,0,5,0,0,0,3,0,2,0,0,0,64,0,0,0,19,4,3,1,0,37,87,0,0,1,9,0,7,0,0,70
länsstyrelse,2015,534,239,90,81,13,1,0,3,8,14,29,0,8,0,0,0,3,0,1,0,0,4,73,0,0,0,22,13,2,1,0,35,124,0,0,1,11,0,2,0,0,110
länsstyrelse,2020,535,190,81,30,3,28,3,2,17,11,15,0,3,0,1,2,0,0,0,0,0,0,26,0,0,2,12,3,0,0,0,9,36,0,1,0,3,0,5,1,0,26
länsstyrelse,2008,536,273,36,60,37,26,1,1,59,41,11,1,25,1,2,0,3,2,7,0,0,10,67,0,0,5,19,2,2,0,0,39,33,1,0,0,1,0,7,2,0,22
länsstyrelse,2012,537,128,49,7,20,11,1,8,7,17,7,1,2,0,0,0,0,0,0,0,0,2,11,0,0,0,3,0,0,0,0,8,175,0,1,0,5,0,4,4,0,161
länsstyrelse,2011,538,64,14,9,5,3,0,1,15,6,11,0,4,0,0,0,1,0,0,0,0,3,12,0,0,0,5,0,0,0,0,7,28,0,0,1,1,0,2,0,0,24
länsstyrelse,2013,539,183,75,13,32,5,0,28,13,8,8,1,2,0,0,0,0,0,0,0,0,2,7,0,0,0,3,0,0,0,0,4,168,0,1,0,6,0,4,1,0,156
länsstyrelse,2009,540,326,40,79,56,31,0,0,65,43,11,1,25,1,2,0,5,2,6,0,0,9,84,0,0,5,24,2,2,0,0,51,32,1,0,0,1,0,8,1,0,21
länsstyrelse,2014,541,244,107,75,19,1,0,0,6,3,33,0,1,0,0,0,1,0,0,0,0,0,61,0,0,0,17,6,2,0,0,36,117,0,0,2,12,0,0,0,0,103
länsstyrelse,2016,542,254,91,87,14,5,0,4,8,16,29,0,3,0,0,0,3,0,0,0,0,0,78,0,0,0,20,7,3,0,0,48,136,0,0,1,11,0,4,2,0,118
länsstyrelse,2022,543,523,180,79,84,42,7,2,48,32,42,7,31,1,2,0,6,0,3,7,0,12,96,0,0,2,31,4,3,1,0,55,168,1,4,1,18,0,17,2,0,125
länsstyrelse,2008,544,457,186,75,67,9,8,0,58,27,27,0,59,5,2,14,9,2,1,0,0,26,64,1,4,0,10,11,0,0,0,38,109,3,6,9,13,1,11,4,0,62
länsstyrelse,2007,545,97,26,26,10,3,0,0,11,10,11,0,1,0,0,0,0,0,0,0,0,1,21,0,2,0,6,0,0,0,0,13,40,0,1,0,4,1,1,0,0,33
länsstyrelse,2013,546,164,89,26,1,5,1,14,11,3,12,2,10,0,0,0,4,0,2,0,0,4,46,0,0,0,15,3,0,2,0,26,115,0,0,3,2,0,3,0,0,107
länsstyrelse,2014,547,234,119,15,30,2,0,28,17,15,7,1,3,0,0,0,0,0,0,1,0,2,18,0,0,0,5,1,0,1,0,11,204,0,1,1,6,0,5,8,0,183
länsstyrelse,2015,548,200,92,15,28,8,0,16,13,19,9,0,4,0,0,0,0,0,0,1,0,3,10,0,0,0,3,1,0,1,0,5,167,0,0,1,6,0,6,5,0,149
länsstyrelse,2012,549,192,92,25,12,6,0,0,30,13,14,0,2,0,0,0,0,0,1,0,0,1,21,0,0,0,9,0,1,0,0,11,92,0,0,0,2,0,11,2,0,77
länsstyrelse,2009,550,509,202,105,79,14,5,0,69,21,14,0,57,5,2,14,8,2,1,0,0,25,95,1,4,0,16,12,1,0,0,61,140,3,6,10,17,1,16,1,0,86
länsstyrelse,2010,551,112,28,25,7,4,0,1,27,14,6,0,6,0,1,1,1,1,0,0,0,2,30,0,1,1,7,1,0,0,0,20,72,0,0,0,4,1,0,0,0,67
länsstyrelse,2014,552,179,64,26,15,9,4,10,22,11,15,3,6,0,0,0,0,0,2,1,0,3,40,0,0,0,13,0,0,1,0,26,80,0,0,1,7,0,12,1,0,59
