actor,year,doc_index,total_risk_mentions,risk_naturhot,risk_biologiska_hot,risk_olyckor,risk_antagonistiska_hot,risk_cyber_hot,risk_sociala_risker,risk_teknisk_infrastruktur,risk_brand,risk_miljö_klimat,risk_ekonomi,sannolikhet_total,sannolikhet_very_low,sannolikhet_low,sannolikhet_medium,sannolikhet_high,sannolikhet_very_high,sannolikhet_change,sannolikhet_uncertainty,sannolikhet_acceptability,sannolikhet_UNKNOWN,konsekvens_total,konsekvens_very_low,konsekvens_low,konsekvens_medium,konsekvens_high,konsekvens_very_high,konsekvens_change,konsekvens_uncertainty,konsekvens_acceptability,konsekvens_UNKNOWN,risk_total,risk_very_low,risk_low,risk_medium,risk_high,risk_very_high,risk_change,risk_uncertainty,risk_acceptability,risk_UNKNOWN
kommun,2023,316,62,20,14,2,8,0,0,10,6,2,0,4,0,1,0,1,0,0,0,0,2,17,0,0,0,11,0,0,0,0,6,28,0,0,0,3,0,5,3,0,17
kommun,2011,317,73,14,11,9,0,0,0,24,8,7,0,11,0,1,0,8,0,0,0,0,2,13,0,0,0,4,1,1,0,0,7,16,0,1,0,0,0,1,0,0,14
kommun,2015,318,134,37,36,14,8,0,7,16,12,4,0,52,11,5,6,4,0,1,0,0,25,55,4,5,1,27,3,0,0,0,15,19,0,2,0,2,0,4,0,0,11
kommun,2019,319,90,32,28,8,0,3,0,7,12,0,0,18,0,4,4,2,0,0,1,0,7,23,1,0,2,10,0,0,0,0,10,30,0,2,4,3,1,1,0,0,19
kommun,2023,320,183,64,35,1,9,10,4,45,3,11,1,30,0,1,1,3,4,3,3,0,15,43,0,0,0,15,4,3,1,0,20,31,0,1,0,3,0,10,1,0,16
kommun,2023,321,111,48,16,6,3,2,1,16,10,9,0,4,0,0,0,0,0,0,0,0,4,15,1,0,0,3,1,1,0,0,9,35,0,0,0,3,0,5,1,0,26
kommun,2019,322,73,28,9,1,6,0,1,25,2,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,0,0,0,0,9,10,0,0,0,0,0,0,0,0,10
kommun,2015,323,2,1,1,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,2,8,1,0,1,0,0,0,0,0,6,9,0,0,0,0,0,1,0,0,8
kommun,2019,324,114,27,11,8,19,0,1,28,18,2,0,12,1,0,0,4,0,1,1,0,5,23,0,0,0,12,0,2,0,0,9,58,0,0,3,8,0,3,1,1,42
kommun,2023,325,35,15,7,0,7,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,7,11,0,0,0,0,0,0,0,0,11
kommun,2019,326,357,136,48,42,42,1,15,37,32,4,0,57,2,6,16,13,4,2,2,1,11,82,0,14,1,41,6,1,0,0,19,48,0,0,1,4,0,10,0,0,33
kommun,2023,327,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,5
kommun,2019,328,181,67,19,14,9,0,0,49,18,5,0,41,9,5,5,3,3,2,0,0,14,45,1,3,0,19,8,3,0,0,11,29,1,0,0,2,1,4,1,0,20
kommun,2019,329,44,14,5,3,6,1,1,8,5,1,0,4,0,0,0,0,1,0,0,0,3,13,0,0,0,6,0,0,0,0,7,30,0,0,0,1,0,2,0,0,27
kommun,2023,330,129,25,8,4,31,0,6,37,16,2,0,2,0,0,0,0,0,0,0,0,2,11,0,0,0,5,1,1,0,0,4,24,0,0,0,1,0,2,0,0,21
kommun,2019,331,509,134,84,25,130,8,1,67,43,17,0,88,21,1,5,9,0,6,5,0,41,121,0,1,0,29,8,3,8,0,72,87,0,0,0,3,0,14,1,0,69
kommun,2023,332,425,146,45,29,59,14,10,70,42,10,0,15,0,1,0,2,1,5,1,0,5,69,0,1,0,14,2,1,2,0,49,75,0,2,0,7,0,19,6,0,41
kommun,2023,333,38,19,6,0,7,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,7,11,0,0,0,0,0,0,0,0,11
kommun,2019,334,347,65,86,34,50,20,12,34,41,5,0,38,5,3,5,6,0,0,2,0,17,43,5,1,0,6,15,0,0,0,16,59,0,0,0,7,0,13,2,1,36
